condition	feature_id	n_perturbations	p_up	p_down	p_const	dominant_state	SSI	stability_deviation	stability_level	dominant_signal_identity	fsf_signal_class
des	RvY_00387-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00399-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00400-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00402-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00407-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00410-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00412	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00417-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00423-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00425-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00427-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00428-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00430	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00435-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00439-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00440-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00441-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00455-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00458-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00459	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00460-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00465-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00470	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00471-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00478	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00479-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00482-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00490-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00493	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00495-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00497-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00498-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00502-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00508-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00509-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00516-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00518-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00519-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00523-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00530-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00531	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00532-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00533	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00543-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00553	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00555-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00561	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00562-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00565-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00566-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00568-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00569	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00570	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00572-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00573-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00574-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00575-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00580-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00584-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00593-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00597-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00603-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
