rank	feature_id	instability_count	instability_conditions	mean_SSI	mean_stability_deviation	max_stability_deviation
204	RvY_08490-2	3	gam;lt;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
205	RvY_08582-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
206	RvY_09596-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
207	RvY_10077-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
208	RvY_10227-1	3	des;gam;lt	0.7380952380952381	0.2619047619047619	0.5
209	RvY_10481	3	des;lt;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
210	RvY_10599-1	3	gam;lt;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
211	RvY_11130-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
212	RvY_12267-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
213	RvY_13266-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
214	RvY_13313	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
215	RvY_13489-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
216	RvY_13662-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
217	RvY_13683	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
218	RvY_13954	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
219	RvY_14100-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
220	RvY_14812-1	3	des;lt;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
221	RvY_15135-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
222	RvY_15139-1	3	des;lt;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
223	RvY_15439-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
224	RvY_17672-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
225	RvY_18425-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
