condition	feature_id	n_perturbations	n_up	n_down	n_const	p_up	p_down	p_const	dominant_state	ssi	stability_region	signal_class	stability_deviation
DES	RvY_01009-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01030-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01048-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01056-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01066-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01072-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01073-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01077-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01078-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01081-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01082	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01083-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01092-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01119-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01125-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01132-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01143-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01156-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01164	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01168-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01180-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01194-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01241-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01265	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01278-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01286-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01287-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01303-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01314-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01322-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01325-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01330-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01338-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01343-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01344-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01350-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01363-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01369-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01380-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01393-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01448-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01455	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01464-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01465-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01498-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01500-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01560-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01561-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01563-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01600-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01605-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01643-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01658-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01717	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01727-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01739-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01753	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01759-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01961-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_01974-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_02024	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_02040-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_02071-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
