condition	feature_id	n_perturbations	n_up	n_down	n_const	p_up	p_down	p_const	dominant_state	ssi	stability_region	signal_class	stability_deviation
DES	RvY_00370-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00371-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00372-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00376-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00384-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00385-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00390-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00391-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00396-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00398	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00401-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00403	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00406-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00411-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00413-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00414-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00415-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00416-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00420-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00421-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00424-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00426	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00429-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00431	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00432-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00434-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00436-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00446-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00448-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00449	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00464-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00472-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00476-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00477-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00484-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00488-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00489-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00491-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00492-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00494-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00496-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00499-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00503-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00504	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00506-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00507-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00515-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00522-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00534-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00535-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00537-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00538-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00540	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00541-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00542-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
