theme_id	candidate_theme	source	term_id	official_term_name	condition	FSF_region	adjusted_p	enrichment_measure	mapping_basis	historical_theme_relation	evidence_status	author_decision	author_notes
C01	Membrane transport and ion homeostasis	GO	GO:1902600	proton transmembrane transport	DES	Highly Stable	0.000500392026777079	2.6831340956341	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0016197	endosomal transport	DES	Highly Stable	0.000837858681330251	1.35194769169804	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0032386	regulation of intracellular transport	DES	Highly Stable	0.000982943865231249	1.27318080024132	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0016469	proton-transporting two-sector ATPase complex	DES	Highly Stable	0.00151162811817305	3.83129445234708	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0051049	regulation of transport	DES	Highly Stable	0.0026852582070729	1.12695219362904	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0000275	obsolete mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)	DES	Highly Stable	0.00293861695876462	8.66602316602317	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	REQUIRES_AUTHOR_REVIEW		
C01	Membrane transport and ion homeostasis	GO	GO:0005324	long-chain fatty acid transmembrane transporter activity	DES	Highly Stable	0.00293861695876462	5.10839260312945	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0045261	obsolete proton-transporting ATP synthase complex, catalytic core F(1)	DES	Highly Stable	0.00293861695876462	8.66602316602317	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	REQUIRES_AUTHOR_REVIEW		
C01	Membrane transport and ion homeostasis	GO	GO:0060627	regulation of vesicle-mediated transport	DES	Highly Stable	0.00376302911589394	1.22827327879834	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:1903818	positive regulation of voltage-gated potassium channel activity	DES	Highly Stable	0.00401241179146498	3.70713213213213	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0048193	Golgi vesicle transport	DES	Highly Stable	0.00652895615748268	1.26033904776879	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0099003	vesicle-mediated transport in synapse	DES	Highly Stable	0.0071507969832228	1.31398424826356	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0015078	proton transmembrane transporter activity	DES	Highly Stable	0.0073345386739178	2.61077659938419	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0015990	electron transport coupled proton transport	DES	Highly Stable	0.00782186797596566	9.70594594594595	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	DES	Highly Stable	0.00884826721503723	1.33941563956024	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0007041	lysosomal transport	DES	Highly Stable	0.00914016482992211	1.48239878475662	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	DES	Highly Stable	0.0110468636514068	5.5995841995842	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0030001	metal ion transport	DES	Highly Stable	0.0115254028846369	1.20094066882416	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain	DES	Highly Stable	0.0120897569569953	4.71816816816817	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0007034	vacuolar transport	DES	Highly Stable	0.0124654646741749	1.39769028277053	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0046907	intracellular transport	DES	Highly Stable	0.0193922159959303	1.11400942472764	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0015909	long-chain fatty acid transport	DES	Highly Stable	0.0240312786417278	2.96570570570571	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain	DES	Highly Stable	0.0323612944745288	4.54966216216216	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0060316	obsolete positive regulation of ryanodine-sensitive calcium-release channel activity	DES	Highly Stable	0.0333405700479211	6.93281853281853	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	REQUIRES_AUTHOR_REVIEW		
C01	Membrane transport and ion homeostasis	GO	GO:0032388	positive regulation of intracellular transport	DES	Highly Stable	0.0357841567667703	1.29354524094516	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0048489	synaptic vesicle transport	DES	Highly Stable	0.0423458414304161	1.31162644475266	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0070588	calcium ion transmembrane transport	DES	Highly Stable	0.0439739903423568	1.29709893666204	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0046873	metal ion transmembrane transporter activity	DES	Highly Stable	0.0443855532637145	1.21062567421791	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	KEGG	K09640	TMPRSS9	DES	Highly Stable	0.0490821365450946	6.36347517730496	KEGG_PATHWAY_IDENTITY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	DES	Highly Stable	3.08763346159246e-22	6.06621621621622	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0000956	nuclear-transcribed mRNA catabolic process	DES	Highly Stable	1.32516828651933e-10	3.29522856189523	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0006396	RNA processing	DES	Highly Stable	3.36435613124897e-10	1.29385618932039	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0006402	mRNA catabolic process	DES	Highly Stable	1.22252775736353e-09	3.08570535853773	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0016070	RNA metabolic process	DES	Highly Stable	6.24039483615722e-09	1.19413444079335	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0010467	gene expression	DES	Highly Stable	6.04106892404695e-08	1.16685082766942	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0006397	mRNA processing	DES	Highly Stable	1.57761417043742e-07	1.35795049171532	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0000398	mRNA splicing, via spliceosome	DES	Highly Stable	5.29602019240377e-07	1.37846676663715	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0000375	RNA splicing, via transesterification reactions	DES	Highly Stable	1.42614185120055e-06	1.37305073751602	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0008380	RNA splicing	DES	Highly Stable	1.76333848634538e-06	1.35256109809173	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	DES	Highly Stable	2.56036892506039e-06	1.36766907038082	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0006399	tRNA metabolic process	DES	Highly Stable	3.90272642127439e-06	1.48239878475662	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0051252	regulation of RNA metabolic process	DES	Highly Stable	0.000106724711032356	1.12271303608648	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0034660	obsolete ncRNA metabolic process	DES	Highly Stable	0.000267281699529495	1.23373834344261	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	REQUIRES_AUTHOR_REVIEW		
C02	RNA processing and expression	GO	GO:0006355	regulation of DNA-templated transcription	DES	Highly Stable	0.000509003749724378	1.11927813602013	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:1903506	obsolete regulation of nucleic acid-templated transcription	DES	Highly Stable	0.00168475045791531	1.112532949352	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	REQUIRES_AUTHOR_REVIEW		
C02	RNA processing and expression	GO	GO:0070180	large ribosomal subunit rRNA binding	DES	Highly Stable	0.00293861695876462	8.66602316602317	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0006351	DNA-templated transcription	DES	Highly Stable	0.00345421011770279	1.18768029368818	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0010468	regulation of gene expression	DES	Highly Stable	0.00399989509127017	1.08733876963654	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0009451	RNA modification	DES	Highly Stable	0.00436438012756472	1.40226912071572	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0097659	obsolete nucleic acid-templated transcription	DES	Highly Stable	0.0053758273386408	1.18353766429565	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	REQUIRES_AUTHOR_REVIEW		
C02	RNA processing and expression	GO	GO:0019843	rRNA binding	DES	Highly Stable	0.00740379856197202	2.92851817334576	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0034470	obsolete ncRNA processing	DES	Highly Stable	0.00914016482992211	1.23246533777035	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	REQUIRES_AUTHOR_REVIEW		
C02	RNA processing and expression	GO	GO:0010629	negative regulation of gene expression	DES	Highly Stable	0.00966453202799373	1.54633384738305	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0008033	tRNA processing	DES	Highly Stable	0.0134081810474548	1.40588787973692	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0045814	negative regulation of gene expression, epigenetic	DES	Highly Stable	0.0145349015321848	2.86263923135788	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C02	RNA processing and expression	GO	GO:0045893	positive regulation of DNA-templated transcription	DES	Highly Stable	0.0186234867249703	1.13300400556727	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
