redundancy_group_id	representative_term_id	representative_term_name	member_term_ids	member_count	condition	FSF_region	selection_basis
GR_GAM_Stable_0097	GO:0015002	obsolete heme-copper terminal oxidase activity	GO:0015002	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0098	GO:0015103	obsolete inorganic anion transmembrane transporter activity	GO:0015103	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0099	GO:0015672	obsolete inorganic cation transmembrane transport	GO:0015672	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0100	GO:0015911	long-chain fatty acid import across plasma membrane	GO:0015911;GO:1902001	2	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0101	GO:0016200	synaptic target attraction	GO:0016200	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0102	GO:0016307	obsolete phosphatidylinositol phosphate kinase activity	GO:0016307	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0103	GO:0016458	obsolete gene silencing	GO:0016458	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0104	GO:0016569	obsolete covalent chromatin modification	GO:0016569	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0105	GO:0016570	obsolete histone modification	GO:0016570	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0106	GO:0016571	obsolete histone methylation	GO:0016571	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0107	GO:0016573	obsolete histone acetylation	GO:0016573	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0108	GO:0016574	obsolete histone ubiquitination	GO:0016574	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0109	GO:0016578	obsolete histone deubiquitination	GO:0016578	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0110	GO:0016607	nuclear speck	GO:0016607;GO:0035363	2	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0111	GO:0016676	obsolete oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor	GO:0016676	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
