evidence_row_id	condition	FSF_region	source	term_id	official_term_name	official_namespace_or_identifier_type	adjusted_p	enrichment_measure	significant_term_count_context	mapping_status	candidate_theme_ids	candidate_themes	theme_assignment_status
SEMANTIC_EVIDENCE_02767	GAM	Stable	GO	GO:0010001	glial cell differentiation	biological_process	0.00170568974271692	2.2240643938306	3174	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02768	GAM	Stable	GO	GO:0005516	calmodulin binding	molecular_function	0.00173660248250364	2.78792939260527	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02769	GAM	Stable	GO	GO:1901992	positive regulation of mitotic cell cycle phase transition	biological_process	0.00173660248250364	2.78792939260527	3174	mapped	H04;H13	Broad regulatory and signaling processes; Cell cycle and division	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02770	GAM	Stable	GO	GO:0045444	fat cell differentiation	biological_process	0.00175865573186378	3.04996428633648	3174	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02771	GAM	Stable	GO	GO:0045667	regulation of osteoblast differentiation	biological_process	0.00175865573186378	3.04996428633648	3174	mapped	H09;H13	Broad regulatory and signaling processes; Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02772	GAM	Stable	GO	GO:1904377	positive regulation of protein localization to cell periphery	biological_process	0.00175865573186378	3.04996428633648	3174	mapped	C03;H13	Broad regulatory and signaling processes; Vesicle trafficking and organelle organization	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02773	GAM	Stable	GO	GO:0006356	regulation of transcription by RNA polymerase I	biological_process	0.00176263897665208	4.02507306057386	3174	mapped	C02;H13	Broad regulatory and signaling processes; RNA processing and expression	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02774	GAM	Stable	GO	GO:0007044	cell-substrate junction assembly	biological_process	0.00176263897665208	4.02507306057386	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02775	GAM	Stable	GO	GO:0051702	biological process involved in interaction with symbiont	biological_process	0.00176263897665208	4.02507306057386	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02776	GAM	Stable	GO	GO:1990928	response to amino acid starvation	biological_process	0.00176263897665208	4.02507306057386	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02777	GAM	Stable	GO	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	molecular_function	0.0017639449322938	1.80046278838573	3174	mapped	C02;H13	Broad regulatory and signaling processes; RNA processing and expression	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02778	GAM	Stable	GO	GO:0002218	activation of innate immune response	biological_process	0.00179651543050416	3.42228434135748	3174	mapped	C04	Immune and defense processes	CANDIDATE_MAPPING_AVAILABLE
