condition	feature_id	p_up	p_down	p_const	ssi	dominant_state	stability_region	signal_class
LT	RvY_06932	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06933-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06934-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06935-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06936-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06937	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06938-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06939-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06940-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_06941	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06942	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06943-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06945-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06946	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06949	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06950	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06951	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06952-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06953-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06954-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06955-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06956-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06957	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06958-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06959-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06960	0	0	1	1	constant	Highly Stable	Highly Stable Constant
