kegg_id	kegg_identifier_type	kegg_name	kegg_description_if_available	source_version	mapping_status
K03942	KO	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:7.1.1.2]	KEGG KO 2026-09-18	mapped
K03963	KO	NDUFB7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7	KEGG KO 2026-09-18	mapped
K04097	KO	HPGDS	prostaglandin-H2 D-isomerase / glutathione transferase [EC:5.3.99.2 2.5.1.18]	KEGG KO 2026-09-18	mapped
K04130	KO	CHRM2	muscarinic acetylcholine receptor M2	KEGG KO 2026-09-18	mapped
K04142	KO	ADRB2	adrenergic receptor beta-2	KEGG KO 2026-09-18	mapped
K04144	KO	DRD1	dopamine receptor D1	KEGG KO 2026-09-18	mapped
K04147	KO	DRD4	dopamine receptor D4	KEGG KO 2026-09-18	mapped
K04160	KO	HTR4	5-hydroxytryptamine receptor 4	KEGG KO 2026-09-18	mapped
K04204	KO	NPY1R	neuropeptide Y receptor type 1	KEGG KO 2026-09-18	mapped
K04205	KO	NPY2R	neuropeptide Y receptor type 2	KEGG KO 2026-09-18	mapped
K04206	KO	NPY4R	neuropeptide Y receptor type 4	KEGG KO 2026-09-18	mapped
K04208	KO	NPY6R	neuropeptide Y receptor type 6	KEGG KO 2026-09-18	mapped
K04209	KO	NPFR	neuropeptide F receptor	KEGG KO 2026-09-18	mapped
K04230	KO	GALR1	galanin receptor 1	KEGG KO 2026-09-18	mapped
K04251	KO	OPN1LW, OPN1MW	long/medium wavelength-sensitive opsin	KEGG KO 2026-09-18	mapped
K04285	KO	MTNR1A	melatonin receptor type 1A	KEGG KO 2026-09-18	mapped
K04286	KO	MTNR1B	melatonin receptor type 1B	KEGG KO 2026-09-18	mapped
K04314	KO	PRLHR, GPR10	prolactin releasing hormone receptor	KEGG KO 2026-09-18	mapped
K04349	KO	RASGRF1	Ras-specific guanine nucleotide-releasing factor 1	KEGG KO 2026-09-18	mapped
K04357	KO	EGF	epidermal growth factor	KEGG KO 2026-09-18	mapped
K04358	KO	FGF	fibroblast growth factor	KEGG KO 2026-09-18	mapped
K04362	KO	FGFR1, CD331	fibroblast growth factor receptor 1 [EC:2.7.10.1]	KEGG KO 2026-09-18	mapped
K04371	KO	ERK, MAPK1_3	mitogen-activated protein kinase 1/3 [EC:2.7.11.24]	KEGG KO 2026-09-18	mapped
K04372	KO	MKNK, MNK	MAP kinase interacting serine/threonine kinase [EC:2.7.11.1]	KEGG KO 2026-09-18	mapped
K04402	KO	GADD45	growth arrest and DNA-damage-inducible protein	KEGG KO 2026-09-18	mapped
K04429	KO	TAO	thousand and one amino acid protein kinase [EC:2.7.11.1]	KEGG KO 2026-09-18	mapped
K04430	KO	MAP2K4, MKK4	mitogen-activated protein kinase kinase 4 [EC:2.7.12.2]	KEGG KO 2026-09-18	mapped
K04448	KO	JUN	transcription factor AP-1	KEGG KO 2026-09-18	mapped
K04457	KO	PPM1A, PP2CA	protein phosphatase 1A [EC:3.1.3.16]	KEGG KO 2026-09-18	mapped
K04461	KO	PPM1B, PP2CB	protein phosphatase 1B [EC:3.1.3.16]	KEGG KO 2026-09-18	mapped
K04462	KO	MECOM, EVI1, PRDM3	[histone H3]-lysine9 N-methyltransferase (ecotropic virus integration site 1 protein) [EC:2.1.1.367]	KEGG KO 2026-09-18	mapped
K04465	KO	NR4A1, HMR	nuclear receptor subfamily 4 group A member 1	KEGG KO 2026-09-18	mapped
K04489	KO	CASP3A	caspase 3A [EC:3.4.22.-]	KEGG KO 2026-09-18	mapped
K04494	KO	CHD8, HELSNF1	chromodomain helicase DNA binding protein 8 [EC:5.6.2.-]	KEGG KO 2026-09-18	mapped
K04515	KO	CAMK2	calcium/calmodulin-dependent protein kinase (CaM kinase) II [EC:2.7.11.17]	KEGG KO 2026-09-18	mapped
K04547	KO	GNG13	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13	KEGG KO 2026-09-18	mapped
K04565	KO	SOD1	superoxide dismutase, Cu-Zn family [EC:1.15.1.1]	KEGG KO 2026-09-18	mapped
K04605	KO	GRM2	metabotropic glutamate receptor 2	KEGG KO 2026-09-18	mapped
K04608	KO	GRM6	metabotropic glutamate receptor 6	KEGG KO 2026-09-18	mapped
K04611	KO	MXR	metabotropic X receptor	KEGG KO 2026-09-18	mapped
K04632	KO	GNAS	guanine nucleotide-binding protein G(s) subunit alpha	KEGG KO 2026-09-18	mapped
K04633	KO	GNAL	guanine nucleotide-binding protein G(olf) subunit alpha	KEGG KO 2026-09-18	mapped
K04662	KO	BMP4	bone morphogenetic protein 4	KEGG KO 2026-09-18	mapped
K04676	KO	SMAD1	mothers against decapentaplegic homolog 1	KEGG KO 2026-09-18	mapped
K04678	KO	SMURF	E3 ubiquitin ligase SMURF1/2 [EC:2.3.2.26]	KEGG KO 2026-09-18	mapped
K04711	KO	ACER3, YDC1	dihydroceramidase [EC:3.5.1.-]	KEGG KO 2026-09-18	mapped
K04803	KO	CHRNA1	nicotinic acetylcholine receptor alpha-1	KEGG KO 2026-09-18	mapped
K04819	KO	HTR3	5-hydroxytryptamine receptor 3	KEGG KO 2026-09-18	mapped
K04936	KO	KCNMA1, KCA1.1	potassium large conductance calcium-activated channel subfamily M alpha member 1	KEGG KO 2026-09-18	mapped
K04964	KO	TRPC1	transient receptor potential cation channel subfamily C member 1	KEGG KO 2026-09-18	mapped
K04967	KO	TRPC4	transient receptor potential cation channel subfamily C member 4	KEGG KO 2026-09-18	mapped
K04968	KO	TRPC5	transient receptor potential cation channel subfamily C member 5	KEGG KO 2026-09-18	mapped
K04979	KO	TRPM4	transient receptor potential cation channel subfamily M member 4	KEGG KO 2026-09-18	mapped
K04984	KO	TRPA1, ANKTM1	transient receptor potential cation channel subfamily A member 1	KEGG KO 2026-09-18	mapped
