kegg_id	kegg_identifier_type	kegg_name	kegg_description_if_available	source_version	mapping_status
K08810	KO	TRIO	triple functional domain protein [EC:2.7.11.1]	KEGG KO 2026-09-18	mapped
K08811	KO	TSSK, STK22	testis-specific serine kinase [EC:2.7.11.1]	KEGG KO 2026-09-18	mapped
K08885	KO	TNK1	non-receptor tyrosine-protein kinase TNK1 [EC:2.7.10.2]	KEGG KO 2026-09-18	mapped
K08886	KO	TNK2, ACK1	activated CDC42 kinase 1 [EC:2.7.10.2 2.7.11.1]	KEGG KO 2026-09-18	mapped
K09037	KO	MAFF_G_K	transcription factor MAFF/G/K	KEGG KO 2026-09-18	mapped
K09050	KO			KEGG KO 2026-09-18	unmapped
K09052	KO	CREM	cAMP response element modulator	KEGG KO 2026-09-18	mapped
K09057	KO	HLF	hepatic leukemia factor	KEGG KO 2026-09-18	mapped
K09059	KO	NFIL3, E4BP4	nuclear factor, interleukin 3 regulated	KEGG KO 2026-09-18	mapped
K09062	KO	GT	protein giant	KEGG KO 2026-09-18	mapped
K09078	KO	NEUROD2	neurogenic differentiation factor 2	KEGG KO 2026-09-18	mapped
K09091	KO	HEY	hairy and enhancer of split related with YRPW motif	KEGG KO 2026-09-18	mapped
K09103	KO	EBF, COE	early B-cell factor	KEGG KO 2026-09-18	mapped
K09115	KO	MNT, ROX	MAX-binding protein	KEGG KO 2026-09-18	mapped
K09203	KO	EGR1	early growth response protein 1	KEGG KO 2026-09-18	mapped
K09267	KO	SOX1S	transcription factor SOX1/3/14/21 (SOX group B)	KEGG KO 2026-09-18	mapped
K09275	KO	TFCP2	transcription factor CP2 and related proteins	KEGG KO 2026-09-18	mapped
K09309	KO	NKX1	homeobox protein Nkx-1	KEGG KO 2026-09-18	mapped
K09322	KO	MEOX, MOX	homeobox protein MOX	KEGG KO 2026-09-18	mapped
K09351	KO	NKX6-3	homeobox protein Nkx-6.3	KEGG KO 2026-09-18	mapped
K09353	KO	LBX	homeobox protein LBX	KEGG KO 2026-09-18	mapped
K09368	KO	POU6F	POU domain transcription factor, class 6	KEGG KO 2026-09-18	mapped
K09372	KO	LHX1	LIM homeobox protein 1	KEGG KO 2026-09-18	mapped
K09383	KO	PAX5	paired box protein 5	KEGG KO 2026-09-18	mapped
K09395	KO	FOXB	forkhead box protein B	KEGG KO 2026-09-18	mapped
K09411	KO	FOXX	forkhead box protein, other	KEGG KO 2026-09-18	mapped
K09428	KO	ELF1_2_4	E74-like factor 1/2/4	KEGG KO 2026-09-18	mapped
K09490	KO	HSPA5, BIP	endoplasmic reticulum chaperone BiP [EC:5.6.1.10]	KEGG KO 2026-09-18	mapped
K09522	KO	DNAJC2	DnaJ homolog subfamily C member 2	KEGG KO 2026-09-18	mapped
K09542	KO	CRYAB	crystallin, alpha B	KEGG KO 2026-09-18	mapped
K09543	KO	HSPB2	heat shock protein beta-2	KEGG KO 2026-09-18	mapped
K09584	KO	PDIA6, TXNDC7	protein disulfide-isomerase A6 [EC:5.3.4.1]	KEGG KO 2026-09-18	mapped
K09608	KO	TLL1	tolloid-like protein 1 [EC:3.4.24.-]	KEGG KO 2026-09-18	mapped
K09614	KO	CORIN	atrial natriuretic peptide-converting enzyme [EC:3.4.21.-]	KEGG KO 2026-09-18	mapped
K09615	KO	TPSG1	tryptase gamma 1 [EC:3.4.21.-]	KEGG KO 2026-09-18	mapped
K09625	KO	PRSS21	testisin [EC:3.4.21.-]	KEGG KO 2026-09-18	mapped
K09626	KO	PRSS22, BSSP4	brain-specific serine protease 4 [EC:3.4.21.-]	KEGG KO 2026-09-18	mapped
K09628	KO	PRSS27	serine protease 27 [EC:3.4.21.-]	KEGG KO 2026-09-18	mapped
K09629	KO	PRSS33	serine protease 33 [EC:3.4.21.-]	KEGG KO 2026-09-18	mapped
K09630	KO	PRSS36	polyserase 2 [EC:3.4.21.-]	KEGG KO 2026-09-18	mapped
K09632	KO	CTRL	chymotrypsin-like protease [EC:3.4.21.-]	KEGG KO 2026-09-18	mapped
K09638	KO	TMPRSS7	transmembrane protease serine 7 [EC:3.4.21.-]	KEGG KO 2026-09-18	mapped
K09640	KO	TMPRSS9	transmembrane protease serine 9 [EC:3.4.21.-]	KEGG KO 2026-09-18	mapped
K09643	KO	TMPRSS13, TMPRSS11	transmembrane protease serine 13	KEGG KO 2026-09-18	mapped
K09647	KO	IMP1	mitochondrial inner membrane protease subunit 1 [EC:3.4.21.-]	KEGG KO 2026-09-18	mapped
K09871	KO	AQP12	aquaporin-12	KEGG KO 2026-09-18	mapped
K09884	KO	AQPN	aquaporin rerated protein, invertebrate	KEGG KO 2026-09-18	mapped
K10158	KO	B3GAT3	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 [EC:2.4.1.135]	KEGG KO 2026-09-18	mapped
K10277	KO	KDM8, JMJD5	[protein]-arginine 3-hydroxylase / protease [EC:1.14.11.73 3.4.-.-]	KEGG KO 2026-09-18	mapped
K10358	KO	MYO6	myosin VI	KEGG KO 2026-09-18	mapped
K10368	KO	CAPG	macrophage-capping protein	KEGG KO 2026-09-18	mapped
K10380	KO	ANK1	ankyrin-1	KEGG KO 2026-09-18	mapped
K10382	KO	DST	dystonin	KEGG KO 2026-09-18	mapped
K10388	KO	PLEC	plectin	KEGG KO 2026-09-18	mapped
K10396	KO	KIF5	kinesin family member 5 (plus-end-directed kinesin ATPase) [EC:5.6.1.3]	KEGG KO 2026-09-18	mapped
K10406	KO	KIFC2_3	kinesin family member C2/C3	KEGG KO 2026-09-18	mapped
K10413	KO	DYNC1H	dynein cytoplasmic 1 heavy chain	KEGG KO 2026-09-18	mapped
K10442	KO	KLHL1_4_5	kelch-like protein 1/4/5	KEGG KO 2026-09-18	mapped
K10444	KO	KLHL6	kelch-like protein 6	KEGG KO 2026-09-18	mapped
K10446	KO	KLHL8	kelch-like protein 8	KEGG KO 2026-09-18	mapped
K10449	KO	KLHL11	kelch-like protein 11	KEGG KO 2026-09-18	mapped
K10455	KO	KLHL18	kelch-like protein 18	KEGG KO 2026-09-18	mapped
K10593	KO	EDD1, UBR5	E3 ubiquitin-protein ligase EDD1 [EC:2.3.2.26]	KEGG KO 2026-09-18	mapped
K10691	KO	UBR4, ZUBR1	E3 ubiquitin-protein ligase UBR4 [EC:2.3.2.27]	KEGG KO 2026-09-18	mapped
K10696	KO	BRE1	E3 ubiquitin-protein ligase BRE1 [EC:2.3.2.27]	KEGG KO 2026-09-18	mapped
K10742	KO	DNA2	DNA replication ATP-dependent helicase/nuclease Dna2 [EC:5.6.2.3 3.1.-.-]	KEGG KO 2026-09-18	mapped
K10747	KO	LIG1	DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]	KEGG KO 2026-09-18	mapped
K10798	KO	PARP3_4	protein mono-ADP-ribosyltransferase 3/4 [EC:2.4.2.-]	KEGG KO 2026-09-18	mapped
K10803	KO	XRCC1	DNA-repair protein XRCC1	KEGG KO 2026-09-18	mapped
K10866	KO	RAD50	DNA repair protein RAD50 [EC:3.6.-.-]	KEGG KO 2026-09-18	mapped
K10875	KO	RAD54L, RAD54	DNA repair and recombination protein RAD54 and RAD54-like protein [EC:5.6.2.-]	KEGG KO 2026-09-18	mapped
K10885	KO	XRCC5, KU80, G22P2	ATP-dependent DNA helicase 2 subunit 2	KEGG KO 2026-09-18	mapped
K11262	KO	ACACA	acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15]	KEGG KO 2026-09-18	mapped
K11275	KO	H1_5	histone H1/5	KEGG KO 2026-09-18	mapped
K11339	KO	MORF4L1, MRG15, EAF3	mortality factor 4-like protein 1	KEGG KO 2026-09-18	mapped
K11423	KO	SETD2	[histone H3]-lysine36 N-trimethyltransferase [EC:2.1.1.359]	KEGG KO 2026-09-18	mapped
K11450	KO	KDM1A, AOF2, LSD1	[histone H3]-N6,N6-dimethyl-L-lysine4 FAD-dependent demethylase [EC:1.14.99.66]	KEGG KO 2026-09-18	mapped
K11487	KO	PCGF1, NSPC1	polycomb group RING finger protein 1	KEGG KO 2026-09-18	mapped
K11838	KO	USP7, UBP15	ubiquitin carboxyl-terminal hydrolase 7 [EC:3.4.19.12]	KEGG KO 2026-09-18	mapped
K11843	KO	USP14, UBP6	ubiquitin carboxyl-terminal hydrolase 14 [EC:3.4.19.12]	KEGG KO 2026-09-18	mapped
K11994	KO	DNASE1	deoxyribonuclease-1 [EC:3.1.21.1]	KEGG KO 2026-09-18	mapped
K11995	KO	DNASE1L	deoxyribonuclease-1-like protein [EC:3.1.21.-]	KEGG KO 2026-09-18	mapped
K12040	KO	SLC9A3, NHE3	solute carrier family 9 (sodium/hydrogen exchanger), member 3	KEGG KO 2026-09-18	mapped
K12114	KO	VRI	vrille	KEGG KO 2026-09-18	mapped
K12132	KO	prkC, stkP	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	KEGG KO 2026-09-18	mapped
K12162	KO	UFM1	ubiquitin-fold modifier 1	KEGG KO 2026-09-18	mapped
K12180	KO	COPS7, CSN7	COP9 signalosome complex subunit 7	KEGG KO 2026-09-18	mapped
K12192	KO	CHMP2B	charged multivesicular body protein 2B	KEGG KO 2026-09-18	mapped
K12201	KO	SLC2A7, GLUT7	MFS transporter, SP family, solute carrier family 2 (facilitated glucose/fructose transporter), member 7	KEGG KO 2026-09-18	mapped
K12298	KO	CEL	bile salt-stimulated lipase [EC:3.1.1.3 3.1.1.13]	KEGG KO 2026-09-18	mapped
K12323	KO	NPR1, ANPRA	atrial natriuretic peptide receptor 1 [EC:4.6.1.2]	KEGG KO 2026-09-18	mapped
K12326	KO	RASGRF2	Ras-specific guanine nucleotide-releasing factor 2	KEGG KO 2026-09-18	mapped
K12348	KO	ASAH1	acid ceramidase [EC:3.5.1.23]	KEGG KO 2026-09-18	mapped
K12350	KO	SMPD1, ASM	sphingomyelin phosphodiesterase [EC:3.1.4.12]	KEGG KO 2026-09-18	mapped
K12367	KO	DOCK2	dedicator of cytokinesis protein 2	KEGG KO 2026-09-18	mapped
K12374	KO	ARSD_F_H	arylsulfatase D/F/H [EC:3.1.6.-]	KEGG KO 2026-09-18	mapped
K12383	KO	GM2A	ganglioside GM2 activator	KEGG KO 2026-09-18	mapped
K12478	KO	EEA1	early endosome antigen 1	KEGG KO 2026-09-18	mapped
K12482	KO	RUFY1_2, RABIP4	RUN and FYVE domain-containing protein 1/2	KEGG KO 2026-09-18	mapped
K12497	KO	EGR3	early growth response protein 3	KEGG KO 2026-09-18	mapped
K12550	KO	LPO	lactoperoxidase [EC:1.11.1.7]	KEGG KO 2026-09-18	mapped
K12571	KO	PAN2	PAB-dependent poly(A)-specific ribonuclease subunit 2 [EC:3.1.13.4]	KEGG KO 2026-09-18	mapped
K12749	KO	MYL3	myosin light chain 3	KEGG KO 2026-09-18	mapped
K12892	KO	SRSF3, SFRS3	serine/arginine-rich splicing factor 3	KEGG KO 2026-09-18	mapped
K12930	KO	BZ1	anthocyanidin 3-O-glucosyltransferase [EC:2.4.1.115]	KEGG KO 2026-09-18	mapped
K13046	KO	tok	tolkin [EC:3.4.24.-]	KEGG KO 2026-09-18	mapped
K13047	KO	TLL2	tolloid-like protein 2 [EC:3.4.24.-]	KEGG KO 2026-09-18	mapped
K13168	KO	CLASRP, SFRS16	CLK4-associating serine/arginine rich protein	KEGG KO 2026-09-18	mapped
K13169	KO	AKAP17, SFRS17	A-kinase anchor protein 17	KEGG KO 2026-09-18	mapped
K13269	KO	E2.4.1.234	kaempferol 3-O-beta-D-galactosyltransferase [EC:2.4.1.234]	KEGG KO 2026-09-18	mapped
K13293	KO	PDE4	cAMP-specific phosphodiesterase 4 [EC:3.1.4.53]	KEGG KO 2026-09-18	mapped
K13349	KO	MPV17L	Mpv17-like protein	KEGG KO 2026-09-18	mapped
K13618	KO	PLA1A	phosphatidylserine sn-1 acylhydrolase [EC:3.1.1.111]	KEGG KO 2026-09-18	mapped
K13691	KO	SGT1	pathogen-inducible salicylic acid glucosyltransferase [EC:2.4.1.-]	KEGG KO 2026-09-18	mapped
K13706	KO	ABHD14	[protein]-L-lysine N-acetyltransferase [EC:2.3.1.338]	KEGG KO 2026-09-18	mapped
K13803	KO	TRPL	transient-receptor-potential-like protein	KEGG KO 2026-09-18	mapped
K13811	KO	PAPSS	3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]	KEGG KO 2026-09-18	mapped
K13907	KO	CSTA_B	cystatin-A/B	KEGG KO 2026-09-18	mapped
K13963	KO	SERPINB	serpin B	KEGG KO 2026-09-18	mapped
K14016	KO	UFD1	ubiquitin fusion degradation protein 1	KEGG KO 2026-09-18	mapped
K14071	KO	LKR	leucokinin receptor	KEGG KO 2026-09-18	mapped
K14072	KO	Rya-R, NEPYR	RYamide receptor	KEGG KO 2026-09-18	mapped
K14073	KO	PNLIP, PL	pancreatic triacylglycerol lipase [EC:3.1.1.3]	KEGG KO 2026-09-18	mapped
K14074	KO	PNLIPRP1, PLRP1	pancreatic lipase-related protein 1 [EC:3.1.1.3]	KEGG KO 2026-09-18	mapped
K14075	KO	PNLIPRP2, PLRP2	pancreatic lipase-related protein 2 [EC:3.1.1.3]	KEGG KO 2026-09-18	mapped
K14157	KO	AASS	alpha-aminoadipic semialdehyde synthase [EC:1.5.1.8 1.5.1.9]	KEGG KO 2026-09-18	mapped
K14165	KO	K14165	atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]	KEGG KO 2026-09-18	mapped
K14325	KO	RNPS1	RNA-binding protein with serine-rich domain 1	KEGG KO 2026-09-18	mapped
K14381	KO	SQSTM1	sequestosome 1	KEGG KO 2026-09-18	mapped
K14387	KO	SLC5A7, CHT1	solute carrier family 5 (high affinity choline transporter), member 7	KEGG KO 2026-09-18	mapped
K14401	KO	CPSF1, CFT1	cleavage and polyadenylation specificity factor subunit 1	KEGG KO 2026-09-18	mapped
K14411	KO	MSI	RNA-binding protein Musashi	KEGG KO 2026-09-18	mapped
K14428	KO	SLC12A8, CCC9	solute carrier family 12 (potassium/chloride transporters), member 8	KEGG KO 2026-09-18	mapped
K14437	KO	CHD7	chromodomain-helicase-DNA-binding protein 7 [EC:5.6.2.-]	KEGG KO 2026-09-18	mapped
K14438	KO	CHD9	chromodomain-helicase-DNA-binding protein 9 [EC:5.6.2.-]	KEGG KO 2026-09-18	mapped
K14445	KO	SLC13A2_3_5	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5	KEGG KO 2026-09-18	mapped
K14462	KO	APOB	apolipoprotein B	KEGG KO 2026-09-18	mapped
K14525	KO	RPP25	ribonucleases P/MRP protein subunit RPP25 [EC:3.1.26.5]	KEGG KO 2026-09-18	mapped
K14549	KO	UTP15	U3 small nucleolar RNA-associated protein 15	KEGG KO 2026-09-18	mapped
K14554	KO	UTP21, WDR36	U3 small nucleolar RNA-associated protein 21	KEGG KO 2026-09-18	mapped
K14559	KO	MPP10	U3 small nucleolar RNA-associated protein MPP10	KEGG KO 2026-09-18	mapped
K14567	KO	UTP14	U3 small nucleolar RNA-associated protein 14	KEGG KO 2026-09-18	mapped
K14613	KO	SLC46A1	MFS transporter, PCFT/HCP family, solute carrier family 46 (folate transporter), member 1	KEGG KO 2026-09-18	mapped
K14683	KO	SLC34A, NPT, nptA	solute carrier family 34 (sodium-dependent phosphate cotransporter)	KEGG KO 2026-09-18	mapped
K14711	KO	SLC39A5, ZIP5	solute carrier family 39 (zinc transporter), member 5	KEGG KO 2026-09-18	mapped
K14716	KO	SLC39A10, ZIP10	solute carrier family 39 (zinc transporter), member 10	KEGG KO 2026-09-18	mapped
K14722	KO	SLC9A2, NHE2	solute carrier family 9 (sodium/hydrogen exchanger), member 2	KEGG KO 2026-09-18	mapped
K14786	KO	KRI1	protein KRI1	KEGG KO 2026-09-18	mapped
K14792	KO	RRP5, PDCD11	rRNA biogenesis protein RRP5	KEGG KO 2026-09-18	mapped
K14823	KO	EBP2, EBNA1BP2	rRNA-processing protein EBP2	KEGG KO 2026-09-18	mapped
K14833	KO	NOC2	nucleolar complex protein 2	KEGG KO 2026-09-18	mapped
K14850	KO	RRP8	ribosomal RNA-processing protein 8 [EC:2.1.1.287]	KEGG KO 2026-09-18	mapped
K14851	KO	RRP17, NOL12	ribosomal RNA-processing protein 17	KEGG KO 2026-09-18	mapped
K14937	KO	CYP15A1_C1	methyl farnesoate epoxidase / farnesoate epoxidase [EC:1.14.14.127 1.14.14.128]	KEGG KO 2026-09-18	mapped
K14951	KO	ATP13A3_4_5	cation-transporting P-type ATPase 13A3/4/5 [EC:7.2.2.-]	KEGG KO 2026-09-18	mapped
K14985	KO	CYP18A1	26-hydroxylase [EC:1.14.-.-]	KEGG KO 2026-09-18	mapped
K14995	KO	SLC38A9	solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 9	KEGG KO 2026-09-18	mapped
K15048	KO	KALRN	kalirin [EC:2.7.11.1]	KEGG KO 2026-09-18	mapped
K15101	KO	SLC25A2_15, ORNT	solute carrier family 25 (mitochondrial ornithine transporter) member 2/15	KEGG KO 2026-09-18	mapped
K15109	KO	SLC25A20, CACT, CAC, CRC1	solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20	KEGG KO 2026-09-18	mapped
K15271	KO	HFM1, MER3	ATP-dependent DNA helicase HFM1/MER3 [EC:5.6.2.4]	KEGG KO 2026-09-18	mapped
K15290	KO	SYT1	synaptotagmin-1	KEGG KO 2026-09-18	mapped
K15308	KO	TTP	tristetraprolin	KEGG KO 2026-09-18	mapped
K15541	KO	MPE1	protein MPE1	KEGG KO 2026-09-18	mapped
K15602	KO	PROM2	prominin 2	KEGG KO 2026-09-18	mapped
K15692	KO	RNF13, RZF	E3 ubiquitin-protein ligase RNF13 [EC:2.3.2.27]	KEGG KO 2026-09-18	mapped
K15716	KO	ZSWIM2	E3 ubiquitin-protein ligase ZSWIM2 [EC:2.3.2.27]	KEGG KO 2026-09-18	mapped
K15890	KO	FOHSDR	NADP+-dependent farnesol dehydrogenase [EC:1.1.1.216]	KEGG KO 2026-09-18	mapped
K15901	KO	TPRKB, CGI121	EKC/KEOPS complex subunit TPRKB/CGI121	KEGG KO 2026-09-18	mapped
K16072	KO	ERC1, CAST2, ELKS	ELKS/RAB6-interacting/CAST family member 1	KEGG KO 2026-09-18	mapped
K16261	KO	YAT	yeast amino acid transporter	KEGG KO 2026-09-18	mapped
K16307	KO	CDC42BP	serine/threonine-protein kinase MRCK [EC:2.7.11.1]	KEGG KO 2026-09-18	mapped
K16353	KO	SDK	protein sidekick	KEGG KO 2026-09-18	mapped
K16449	KO	RGS	regulator of G-protein signaling	KEGG KO 2026-09-18	mapped
K16462	KO	CEP164	centrosomal protein CEP164	KEGG KO 2026-09-18	mapped
K16506	KO	FAT1_3	protocadherin Fat 1/3	KEGG KO 2026-09-18	mapped
K16507	KO	DCHS1_2, PCDH16_23	protocadherin-16/23	KEGG KO 2026-09-18	mapped
K16608	KO	TTLL3_8	tubulin monoglycylase TTLL3/8 [EC:6.3.2.-]	KEGG KO 2026-09-18	mapped
K16630	KO	COL22A	collagen type XXII alpha	KEGG KO 2026-09-18	mapped
K16669	KO	FAT4	protocadherin Fat 4	KEGG KO 2026-09-18	mapped
K16679	KO	WGN	wengen	KEGG KO 2026-09-18	mapped
K16733	KO	RACGAP1, Tum	Rac GTPase-activating protein 1	KEGG KO 2026-09-18	mapped
K16790	KO	SMAD5	mothers against decapentaplegic homolog 5	KEGG KO 2026-09-18	mapped
K16796	KO	SOX2	transcription factor SOX2 (SOX group B)	KEGG KO 2026-09-18	mapped
K17089	KO	ANXA3	annexin A3	KEGG KO 2026-09-18	mapped
K17233	KO	DUOXA1	dual oxidase maturation factor 1	KEGG KO 2026-09-18	mapped
K17256	KO	IGFALS, ALS	insulin-like growth factor-binding protein complex acid labile subunit	KEGG KO 2026-09-18	mapped
K17277	KO	EPS8	epidermal growth factor receptor kinase substrate 8	KEGG KO 2026-09-18	mapped
K17280	KO	CHRDL2	chordin-like protein 2	KEGG KO 2026-09-18	mapped
K17307	KO	FBLN1_2	fibulin 1/2	KEGG KO 2026-09-18	mapped
K17349	KO	TSPAN8	tetraspanin-8	KEGG KO 2026-09-18	mapped
K17478	KO	FKBP15, WAFL	FK506-binding protein 15	KEGG KO 2026-09-18	mapped
K17535	KO	TNNI3K	serine/threonine-protein kinase TNNI3K [EC:2.7.11.1]	KEGG KO 2026-09-18	mapped
K17572	KO	ARFGEF3, KEPI	brefeldin A-inhibited guanine nucleotide-exchange protein 3	KEGG KO 2026-09-18	mapped
K17580	KO	CASC1	cancer susceptibility candidate protein 1	KEGG KO 2026-09-18	mapped
K17680	KO	TWNK, PEO1	twinkle mtDNA helicase [EC:5.6.2.3]	KEGG KO 2026-09-18	mapped
K17689	KO	CYP3A4	cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-]	KEGG KO 2026-09-18	mapped
K17690	KO	CYP3A5	cytochrome P450 family 3 subfamily A5 [EC:1.14.14.1]	KEGG KO 2026-09-18	mapped
K17691	KO	CYP3A7	cytochrome P450 family 3 subfamily A7 [EC:1.14.14.1]	KEGG KO 2026-09-18	mapped
K17692	KO	CYP3A43	cytochrome P450 family 3 subfamily A43 [EC:1.14.14.1]	KEGG KO 2026-09-18	mapped
K17712	KO	CYP2D6	cytochrome P450 family 2 subfamily D6 [EC:1.14.14.1]	KEGG KO 2026-09-18	mapped
K17726	KO	CYP4F2_3	phylloquinone omega-hydroxylase / docosahexaenoic acid omega-hydroxylase / leukotriene-B4 20-monooxygenase [EC:1.14.14.78 1.14.14.79 1.14.14.94]	KEGG KO 2026-09-18	mapped
K17731	KO	CYP4F22	ultra-long-chain fatty acid omega-hydroxylase [EC:1.14.14.177]	KEGG KO 2026-09-18	mapped
K17785	KO	IMMT, MIC60	MICOS complex subunit MIC60	KEGG KO 2026-09-18	mapped
K17796	KO	TIM21	mitochondrial import inner membrane translocase subunit TIM21	KEGG KO 2026-09-18	mapped
K17813	KO	CYP1D	cytochrome P450 family 1 subfamily D	KEGG KO 2026-09-18	mapped
K17814	KO	CYP1	cytochrome P450 family 1, invertebrate	KEGG KO 2026-09-18	mapped
K17858	KO			KEGG KO 2026-09-18	unmapped
K17860	KO			KEGG KO 2026-09-18	unmapped
K17868	KO	DPH7, RRT2	diphthine methyl ester acylhydrolase [EC:3.1.1.97]	KEGG KO 2026-09-18	mapped
K17926	KO	SNX14	sorting nexin-14	KEGG KO 2026-09-18	mapped
K17952	KO	CYP29A	cytochrome P450 family 29 subfamily A	KEGG KO 2026-09-18	mapped
K18172	KO	CMC2	COX assembly mitochondrial protein 2	KEGG KO 2026-09-18	mapped
K18186	KO	PET100	protein PET100, animal type	KEGG KO 2026-09-18	mapped
K18211	KO	SNAP25	synaptosomal-associated protein 25	KEGG KO 2026-09-18	mapped
K18402	KO	PHF20	PHD finger protein 20	KEGG KO 2026-09-18	mapped
K18408	KO	TDRD9	ATP-dependent RNA helicase TDRD9 [EC:5.6.2.5]	KEGG KO 2026-09-18	mapped
K18436	KO	PDE7	high affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7 [EC:3.1.4.53]	KEGG KO 2026-09-18	mapped
K18493	KO	LHX5	LIM homeobox protein 5	KEGG KO 2026-09-18	mapped
K18542	KO	LCE	choriolysin L [EC:3.4.24.66]	KEGG KO 2026-09-18	mapped
K18543	KO	HCE	choriolysin H [EC:3.4.24.67]	KEGG KO 2026-09-18	mapped
K18597	KO	EML5	echinoderm microtubule-associated protein-like 5	KEGG KO 2026-09-18	mapped
K18598	KO	EML6	echinoderm microtubule-associated protein-like 6	KEGG KO 2026-09-18	mapped
K18644	KO	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	KEGG KO 2026-09-18	mapped
K18645	KO	EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3	KEGG KO 2026-09-18	mapped
K18740	KO	EXD1, EGL	exonuclease 3'-5' domain-containing protein 1	KEGG KO 2026-09-18	mapped
K18753	KO	ZFP36L	butyrate response factor	KEGG KO 2026-09-18	mapped
K18826	KO	CAMKMT	calmodulin-lysine N-methyltransferase [EC:2.1.1.60]	KEGG KO 2026-09-18	mapped
K19013	KO	STAB2, HARE	stabilin-2	KEGG KO 2026-09-18	mapped
K19020	KO	STAB1	stabilin-1	KEGG KO 2026-09-18	mapped
K19326	KO	SYNE1	nesprin-1	KEGG KO 2026-09-18	mapped
K19362	KO	TMEM231	transmembrane protein 231	KEGG KO 2026-09-18	mapped
K19511	KO	PXDN, VPO1	peroxidase [EC:1.11.1.7]	KEGG KO 2026-09-18	mapped
K19584	KO	PRKX	protein kinase X [EC:2.7.11.11]	KEGG KO 2026-09-18	mapped
K19606	KO	CRTAP	cartilage-associated protein	KEGG KO 2026-09-18	mapped
K19720	KO	COL3A	collagen type III alpha	KEGG KO 2026-09-18	mapped
K19827	KO	MACF1	microtuble-actin crosslinking factor 1	KEGG KO 2026-09-18	mapped
K19828	KO	MTG1	mitochondrial GTPase 1	KEGG KO 2026-09-18	mapped
K19871	KO	SALL	sal-like protein	KEGG KO 2026-09-18	mapped
K19872	KO	FKTN	fukutin [EC:2.7.8.-]	KEGG KO 2026-09-18	mapped
K19878	KO	ERC2, CAST	ELKS/RAB6-interacting/CAST family member 2	KEGG KO 2026-09-18	mapped
K19895	KO	GFRA	GDNF family receptor alpha	KEGG KO 2026-09-18	mapped
K19899	KO	GP2	pancreatic secretory granule membrane major glycoprotein GP2	KEGG KO 2026-09-18	mapped
K19919	KO	CRISP1_2_3	cysteine-rich secretory protein 1/2/3	KEGG KO 2026-09-18	mapped
K19941	KO	SYN	synapsin	KEGG KO 2026-09-18	mapped
K20008	KO	DCP1	death caspase-1 [EC:3.4.22.-]	KEGG KO 2026-09-18	mapped
K20067	KO	STON	stonin	KEGG KO 2026-09-18	mapped
K20111	KO	OVCH2	oviductin [EC:3.4.21.120]	KEGG KO 2026-09-18	mapped
K20285	KO	RABEPK	Rab9 effector protein with kelch motifs	KEGG KO 2026-09-18	mapped
K20286	KO	TMF1	TATA element modulatory factor	KEGG KO 2026-09-18	mapped
K20526	KO	TAGLN	transgelin	KEGG KO 2026-09-18	mapped
K20628	KO	exlX	expansin	KEGG KO 2026-09-18	mapped
K20645	KO	ARHGAP30	Rho GTPase-activating protein 30	KEGG KO 2026-09-18	mapped
K20671	KO	PSH	serine protease persephone [EC:3.4.21.-]	KEGG KO 2026-09-18	mapped
K20672	KO	SPE	spatzle-processing enzyme [EC:3.4.21.-]	KEGG KO 2026-09-18	mapped
K20675	KO	SPIRIT	serine protease immune response integrator	KEGG KO 2026-09-18	mapped
K20723	KO	RTN3	reticulon-3	KEGG KO 2026-09-18	mapped
K20751	KO	E3.4.21.99	spermosin [EC:3.4.21.99]	KEGG KO 2026-09-18	mapped
K20840	KO	SLC46A3	MFS transporter, PCFT/HCP family, solute carrier family 46, member 3	KEGG KO 2026-09-18	mapped
K21283	KO	BMP2	bone morphogenetic protein 2	KEGG KO 2026-09-18	mapped
K21374	KO	UGT85A23_24	7-deoxyloganetin glucosyltransferase [EC:2.4.1.324]	KEGG KO 2026-09-18	mapped
K21396	KO	WHT	ATP-binding cassette, subfamily G (WHITE), eye pigment precursor transporter	KEGG KO 2026-09-18	mapped
K21411	KO	ANKLE1, LEM3	ankyrin repeat and LEM domain-containing protein 1	KEGG KO 2026-09-18	mapped
K21414	KO	ANKS4B, HARP	ankyrin repeat and SAM domain-containing protein 4B	KEGG KO 2026-09-18	mapped
K21598	KO	GCM	chorion-specific transcription factor GCM	KEGG KO 2026-09-18	mapped
