go_id	canonical_go_id	go_name	go_namespace	obsolete_status	replacement_or_consider	source_version	mapping_status
GO:0044212	GO:0000976	transcription cis-regulatory region binding	molecular_function	current		releases/2026-07-26	alternate_id
GO:0044214	GO:0044214	obsolete spanning component of plasma membrane	cellular_component	obsolete	replaced_by:GO:0005886	releases/2026-07-26	obsolete
GO:0044237	GO:0044237	obsolete cellular metabolic process	biological_process	obsolete	replaced_by:GO:0008152	releases/2026-07-26	obsolete
GO:0044242	GO:0044242	obsolete cellular lipid catabolic process	biological_process	obsolete	replaced_by:GO:0016042	releases/2026-07-26	obsolete
GO:0044248	GO:0044248	obsolete cellular catabolic process	biological_process	obsolete	replaced_by:GO:0009056	releases/2026-07-26	obsolete
GO:0044249	GO:0044249	obsolete cellular biosynthetic process	biological_process	obsolete	replaced_by:GO:0009058	releases/2026-07-26	obsolete
GO:0044255	GO:0044255	obsolete cellular lipid metabolic process	biological_process	obsolete	replaced_by:GO:0006629	releases/2026-07-26	obsolete
GO:0044257	GO:0030163	protein catabolic process	biological_process	current		releases/2026-07-26	alternate_id
GO:0044260	GO:0044260	obsolete cellular macromolecule metabolic process	biological_process	obsolete	replaced_by:GO:0043170	releases/2026-07-26	obsolete
GO:0044265	GO:0044265	obsolete cellular macromolecule catabolic process	biological_process	obsolete	replaced_by:GO:0009057	releases/2026-07-26	obsolete
GO:0044267	GO:0019538	protein metabolic process	biological_process	current		releases/2026-07-26	alternate_id
GO:0044270	GO:0044270	obsolete cellular nitrogen compound catabolic process	biological_process	obsolete	replaced_by:GO:0009056	releases/2026-07-26	obsolete
GO:0044271	GO:0044271	obsolete cellular nitrogen compound biosynthetic process	biological_process	obsolete	replaced_by:GO:0009058	releases/2026-07-26	obsolete
GO:0044420	GO:0044420	obsolete extracellular matrix component	cellular_component	obsolete	consider:GO:0031012	releases/2026-07-26	obsolete
GO:0044421	GO:0044421	obsolete extracellular region part	cellular_component	obsolete	consider:GO:0005576	releases/2026-07-26	obsolete
GO:0044422	GO:0044422	obsolete organelle part	cellular_component	obsolete	consider:GO:0043226	releases/2026-07-26	obsolete
GO:0044424	GO:0044424	obsolete intracellular part	cellular_component	obsolete	consider:GO:0005622	releases/2026-07-26	obsolete
GO:0044427	GO:0044427	obsolete chromosomal part	cellular_component	obsolete	consider:GO:0005694	releases/2026-07-26	obsolete
GO:0044428	GO:0044428	obsolete nuclear part	cellular_component	obsolete	consider:GO:0005634	releases/2026-07-26	obsolete
GO:0044429	GO:0044429	obsolete mitochondrial part	cellular_component	obsolete	consider:GO:0005739	releases/2026-07-26	obsolete
GO:0044430	GO:0044430	obsolete cytoskeletal part	cellular_component	obsolete	consider:GO:0005856	releases/2026-07-26	obsolete
GO:0044437	GO:0044437	obsolete vacuolar part	cellular_component	obsolete	consider:GO:0005773	releases/2026-07-26	obsolete
GO:0044440	GO:0044440	obsolete endosomal part	cellular_component	obsolete	consider:GO:0005768	releases/2026-07-26	obsolete
GO:0044444	GO:0044444	obsolete cytoplasmic part	cellular_component	obsolete	consider:GO:0005737	releases/2026-07-26	obsolete
