go_id	canonical_go_id	go_name	go_namespace	obsolete_status	replacement_or_consider	source_version	mapping_status
GO:1903051	GO:1903051	obsolete negative regulation of proteolysis involved in protein catabolic process	biological_process	obsolete	replaced_by:GO:0042177	releases/2026-07-26	obsolete
GO:1903052	GO:1903052	obsolete positive regulation of proteolysis involved in protein catabolic process	biological_process	obsolete	replaced_by:GO:0045732	releases/2026-07-26	obsolete
GO:1903053	GO:1903053	regulation of extracellular matrix organization	biological_process	current		releases/2026-07-26	mapped
GO:1903059	GO:1903059	regulation of protein lipidation	biological_process	current		releases/2026-07-26	mapped
GO:1903061	GO:1903061	positive regulation of protein lipidation	biological_process	current		releases/2026-07-26	mapped
GO:1903076	GO:1903076	regulation of protein localization to plasma membrane	biological_process	current		releases/2026-07-26	mapped
GO:1903077	GO:1903077	negative regulation of protein localization to plasma membrane	biological_process	current		releases/2026-07-26	mapped
GO:1903078	GO:1903078	positive regulation of protein localization to plasma membrane	biological_process	current		releases/2026-07-26	mapped
GO:1903146	GO:1903146	regulation of autophagy of mitochondrion	biological_process	current		releases/2026-07-26	mapped
GO:1903169	GO:1903169	regulation of calcium ion transmembrane transport	biological_process	current		releases/2026-07-26	mapped
GO:1903209	GO:1903209	obsolete positive regulation of oxidative stress-induced cell death	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1903280	GO:1903280	obsolete negative regulation of calcium:sodium antiporter activity	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1903286	GO:1903286	regulation of potassium ion import	biological_process	current		releases/2026-07-26	mapped
GO:1903311	GO:1903311	regulation of mRNA metabolic process	biological_process	current		releases/2026-07-26	mapped
GO:1903312	GO:1903312	negative regulation of mRNA metabolic process	biological_process	current		releases/2026-07-26	mapped
GO:1903313	GO:1903313	positive regulation of mRNA metabolic process	biological_process	current		releases/2026-07-26	mapped
GO:1903320	GO:1903320	regulation of protein modification by small protein conjugation or removal	biological_process	current		releases/2026-07-26	mapped
GO:1903362	GO:0042176	regulation of protein catabolic process	biological_process	current		releases/2026-07-26	alternate_id
GO:1903363	GO:0042177	negative regulation of protein catabolic process	biological_process	current		releases/2026-07-26	alternate_id
GO:1903364	GO:0045732	positive regulation of protein catabolic process	biological_process	current		releases/2026-07-26	alternate_id
GO:1903373	GO:1903373	positive regulation of endoplasmic reticulum tubular network organization	biological_process	current		releases/2026-07-26	mapped
GO:1903385	GO:1903385	regulation of homophilic cell adhesion	biological_process	current		releases/2026-07-26	mapped
GO:1903387	GO:1903387	positive regulation of homophilic cell adhesion	biological_process	current		releases/2026-07-26	mapped
GO:1903391	GO:1903391	regulation of adherens junction organization	biological_process	current		releases/2026-07-26	mapped
GO:1903393	GO:1903393	positive regulation of adherens junction organization	biological_process	current		releases/2026-07-26	mapped
GO:1903394	GO:1903394	protein localization to kinetochore involved in kinetochore assembly	biological_process	current		releases/2026-07-26	mapped
GO:1903409	GO:1903409	reactive oxygen species biosynthetic process	biological_process	current		releases/2026-07-26	mapped
GO:1903416	GO:1903416	response to glycoside	biological_process	current		releases/2026-07-26	mapped
GO:1903429	GO:1903429	regulation of cell maturation	biological_process	current		releases/2026-07-26	mapped
GO:1903431	GO:1903431	positive regulation of cell maturation	biological_process	current		releases/2026-07-26	mapped
GO:1903432	GO:1903432	regulation of TORC1 signaling	biological_process	current		releases/2026-07-26	mapped
GO:1903506	GO:1903506	obsolete regulation of nucleic acid-templated transcription	biological_process	obsolete	consider:GO:0006357	releases/2026-07-26	obsolete
GO:1903507	GO:1903507	obsolete negative regulation of nucleic acid-templated transcription	biological_process	obsolete	consider:GO:0000122	releases/2026-07-26	obsolete
GO:1903508	GO:1903508	obsolete positive regulation of nucleic acid-templated transcription	biological_process	obsolete	consider:GO:0045944	releases/2026-07-26	obsolete
GO:1903522	GO:1903522	regulation of blood circulation	biological_process	current		releases/2026-07-26	mapped
GO:1903523	GO:1903523	negative regulation of blood circulation	biological_process	current		releases/2026-07-26	mapped
GO:1903530	GO:1903530	regulation of secretion by cell	biological_process	current		releases/2026-07-26	mapped
GO:1903532	GO:1903532	positive regulation of secretion by cell	biological_process	current		releases/2026-07-26	mapped
GO:1903540	GO:1903540	establishment of protein localization to postsynaptic membrane	biological_process	current		releases/2026-07-26	mapped
GO:1903689	GO:1903689	regulation of wound healing, spreading of epidermal cells	biological_process	current		releases/2026-07-26	mapped
GO:1903691	GO:1903691	positive regulation of wound healing, spreading of epidermal cells	biological_process	current		releases/2026-07-26	mapped
GO:1903706	GO:1903706	regulation of hemopoiesis	biological_process	current		releases/2026-07-26	mapped
GO:1903707	GO:1903707	negative regulation of hemopoiesis	biological_process	current		releases/2026-07-26	mapped
GO:1903725	GO:1903725	regulation of phospholipid metabolic process	biological_process	current		releases/2026-07-26	mapped
GO:1903818	GO:1903818	positive regulation of voltage-gated potassium channel activity	biological_process	current		releases/2026-07-26	mapped
GO:1903827	GO:0032880	regulation of protein localization	biological_process	current		releases/2026-07-26	alternate_id
