condition	stability_level	dominant_state	fsf_signal_class	gene_set_id	GO_theme	GO_theme_secondary	n_GO_themes	best_GO_FDR	representative_GO_terms	n_genes	n_annotated	annotated_fraction	significant_GO_terms_FDR005
uv	highly_stable	down	highly_stable_down	uv__highly_stable__down__highly_stable_down	Broad regulatory / cellular process	Broad regulatory / cellular process	1	1.9046487560551452e-6	GO:0008061;GO:0004252	117	108	0.9230769230769232	2
uv	highly_stable	up	highly_stable_up	uv__highly_stable__up__highly_stable_up	No significant GO enrichment	NA	0	NA	NA	141	127	0.900709219858156	0
uv	instable	constant	instable	uv__instable__constant__instable	No significant GO enrichment	NA	0	NA	NA	2783	2446	0.8789076536112109	0
uv	instable	down	instable	uv__instable__down__instable	No significant GO enrichment	NA	0	NA	NA	787	676	0.8589580686149937	0
uv	instable	mixed	instable	uv__instable__mixed__instable	No significant GO enrichment	NA	0	NA	NA	1028	887	0.8628404669260701	0
uv	instable	up	instable	uv__instable__up__instable	No significant GO enrichment	NA	0	NA	NA	801	696	0.8689138576779026	0
uv	stable	constant	stable_constant	uv__stable__constant__stable_constant	Broad regulatory / cellular process	Broad regulatory / cellular process;Chromosome / nuclear organization;Metabolism / oxidation-reduction;Unclassified / manual review	4	9.630071158728671e-17	GO:0043231;GO:0043227;GO:0043229;GO:0043226;GO:0044446;GO:0005622;GO:0044424;GO:0044422;GO:0031974;GO:0043233|GO:0005634;GO:0005654|GO:0044238;GO:0071704|GO:1902494	2596	2332	0.8983050847457628	180
uv	stable	down	stable_down	uv__stable__down__stable_down	Broad regulatory / cellular process	Broad regulatory / cellular process	1	1.3909892580900025e-4	GO:0005576;GO:0008061	238	209	0.8781512605042017	2
uv	stable	up	stable_up	uv__stable__up__stable_up	No significant GO enrichment	NA	0	NA	NA	317	282	0.889589905362776	0
uv	weakly_stable_transitional	constant	weakly_stable_transitional_constant	uv__weakly_stable_transitional__constant__weakly_stable_transitional_constant	Translation / ribosome	Translation / ribosome;Broad regulatory / cellular process;Protein targeting / secretion	3	2.67638872521073e-8	GO:0003735;GO:0022626;GO:0002181;GO:0005840;GO:0006412;GO:0022627;GO:0022625;GO:0043043|GO:0044391;GO:0015935;GO:0044445;GO:0006413;GO:0005198;GO:0043604;GO:0015934;GO:0000184|GO:0006614;GO:0006613;GO:0070972;GO:0045047;GO:0072599;GO:0006612	3264	2900	0.8884803921568627	22
uv	weakly_stable_transitional	down	weakly_stable_transitional_down	uv__weakly_stable_transitional__down__weakly_stable_transitional_down	Broad regulatory / cellular process	Broad regulatory / cellular process;Development / morphogenesis;Cell adhesion / junction;Movement / behavior / taxis;Unclassified / manual review	5	0.0015953052190127	GO:0040003;GO:0022610;GO:0042335;GO:0005576;GO:0022603;GO:0003180;GO:0003184;GO:0042330;GO:0003176;GO:0003177|GO:0009887;GO:0060541|GO:0098742;GO:0007155;GO:0007156;GO:0098609|GO:0007610;GO:0006935;GO:0040011|GO:1905314;GO:0120033;GO:1901342;GO:0120035	419	383	0.9140811455847256	133
uv	weakly_stable_transitional	up	weakly_stable_transitional_up	uv__weakly_stable_transitional__up__weakly_stable_transitional_up	No significant GO enrichment	NA	0	NA	NA	563	504	0.8952042628774423	0
