gene_set_id	gene_set_family	condition	stability_region	dominant_state	signal_class	enrichment_type	kegg_term	query_size	background_size	query_overlap_count	background_term_count	query_fraction	background_fraction	enrichment_ratio	p_value	adjusted_p_value	significant	contributing_feature_ids	all_feature_count	annotated_feature_count
LT__Highly_Stable__down	directional_stable	LT	Highly Stable	down	NA	KO	K18543	37	7178	1	6	0.02702702702702703	8.358874338255781e-4	32.333333333333336	0.03054251140743558	0.03536501320860962	TRUE	RvY_08395-1	84	75
LT__Highly_Stable__down	directional_stable	LT	Highly Stable	down	NA	KO	K07378	37	7178	1	7	0.02702702702702703	9.752020061298412e-4	27.714285714285715	0.035543895551039206	0.040100805237069874	TRUE	RvY_08250-1	84	75
LT__Highly_Stable__down	directional_stable	LT	Highly Stable	down	NA	KO	K09628	37	7178	1	8	0.02702702702702703	0.0011145165784341043	24.25	0.04052017164427757	0.04457218880870533	TRUE	RvY_01282-1	84	75
LT__Highly_Stable__down__Highly_Stable_Down	main_class	LT	Highly Stable	down	Highly Stable Down	KO	K03243	37	7178	1	1	0.02702702702702703	1.3931457230426304e-4	194	0.005154639175257825	0.01030927835051565	TRUE	RvY_08352-1	84	75
LT__Highly_Stable__down__Highly_Stable_Down	main_class	LT	Highly Stable	down	Highly Stable Down	KO	K03317	37	7178	1	1	0.02702702702702703	1.3931457230426304e-4	194	0.005154639175257825	0.01030927835051565	TRUE	RvY_04838	84	75
LT__Highly_Stable__down__Highly_Stable_Down	main_class	LT	Highly Stable	down	Highly Stable Down	KO	K06669	37	7178	1	1	0.02702702702702703	1.3931457230426304e-4	194	0.005154639175257825	0.01030927835051565	TRUE	RvY_15108-1	84	75
LT__Highly_Stable__down__Highly_Stable_Down	main_class	LT	Highly Stable	down	Highly Stable Down	KO	K06674	37	7178	1	1	0.02702702702702703	1.3931457230426304e-4	194	0.005154639175257825	0.01030927835051565	TRUE	RvY_14482-1	84	75
LT__Highly_Stable__down__Highly_Stable_Down	main_class	LT	Highly Stable	down	Highly Stable Down	KO	K09522	37	7178	1	1	0.02702702702702703	1.3931457230426304e-4	194	0.005154639175257825	0.01030927835051565	TRUE	RvY_02226-1	84	75
LT__Highly_Stable__down__Highly_Stable_Down	main_class	LT	Highly Stable	down	Highly Stable Down	KO	K10358	37	7178	1	1	0.02702702702702703	1.3931457230426304e-4	194	0.005154639175257825	0.01030927835051565	TRUE	RvY_09041-1	84	75
LT__Highly_Stable__down__Highly_Stable_Down	main_class	LT	Highly Stable	down	Highly Stable Down	KO	K10396	37	7178	1	1	0.02702702702702703	1.3931457230426304e-4	194	0.005154639175257825	0.01030927835051565	TRUE	RvY_07638-1	84	75
LT__Highly_Stable__down__Highly_Stable_Down	main_class	LT	Highly Stable	down	Highly Stable Down	KO	K10696	37	7178	1	1	0.02702702702702703	1.3931457230426304e-4	194	0.005154639175257825	0.01030927835051565	TRUE	RvY_14288-1	84	75
LT__Highly_Stable__down__Highly_Stable_Down	main_class	LT	Highly Stable	down	Highly Stable Down	KO	K10803	37	7178	1	1	0.02702702702702703	1.3931457230426304e-4	194	0.005154639175257825	0.01030927835051565	TRUE	RvY_00684-1	84	75
