condition	feature_id	SSI	stability_level	stability_level_clean
des	RvY_00612-1	1	highly_stable	Highly stable
des	RvY_00613-1	1	highly_stable	Highly stable
des	RvY_00614-1	1	highly_stable	Highly stable
des	RvY_00615-1	1	highly_stable	Highly stable
des	RvY_00616-1	1	highly_stable	Highly stable
des	RvY_00617-1	1	highly_stable	Highly stable
des	RvY_00618-1	1	highly_stable	Highly stable
des	RvY_00619-1	1	highly_stable	Highly stable
des	RvY_00620	1	highly_stable	Highly stable
des	RvY_00621-1	1	highly_stable	Highly stable
des	RvY_00622-1	1	highly_stable	Highly stable
des	RvY_00624-1	1	highly_stable	Highly stable
des	RvY_00627-1	1	highly_stable	Highly stable
des	RvY_00628-1	1	highly_stable	Highly stable
des	RvY_00629-1	1	highly_stable	Highly stable
des	RvY_00630-1	1	highly_stable	Highly stable
des	RvY_00632	1	highly_stable	Highly stable
des	RvY_00634-1	1	highly_stable	Highly stable
des	RvY_00635-1	1	highly_stable	Highly stable
des	RvY_00636-1	1	highly_stable	Highly stable
des	RvY_00638-1	1	highly_stable	Highly stable
des	RvY_00639-1	1	highly_stable	Highly stable
des	RvY_00642-1	1	highly_stable	Highly stable
des	RvY_00643-1	1	highly_stable	Highly stable
des	RvY_00644-1	1	highly_stable	Highly stable
des	RvY_00645	1	highly_stable	Highly stable
des	RvY_00646-1	1	highly_stable	Highly stable
des	RvY_00648-1	1	highly_stable	Highly stable
des	RvY_00649-1	1	highly_stable	Highly stable
des	RvY_00650-1	1	highly_stable	Highly stable
des	RvY_00651-1	1	highly_stable	Highly stable
des	RvY_00652-1	1	highly_stable	Highly stable
des	RvY_00653-1	1	highly_stable	Highly stable
des	RvY_00654-1	1	highly_stable	Highly stable
des	RvY_00655-1	1	highly_stable	Highly stable
des	RvY_00657-1	1	highly_stable	Highly stable
des	RvY_00658-1	1	highly_stable	Highly stable
des	RvY_00659	1	highly_stable	Highly stable
des	RvY_00661	1	highly_stable	Highly stable
des	RvY_00664-1	1	highly_stable	Highly stable
des	RvY_00667-1	1	highly_stable	Highly stable
des	RvY_00668-1	1	highly_stable	Highly stable
des	RvY_00669-1	1	highly_stable	Highly stable
des	RvY_00670-1	1	highly_stable	Highly stable
des	RvY_00671-1	1	highly_stable	Highly stable
des	RvY_00676-1	1	highly_stable	Highly stable
des	RvY_00677-1	1	highly_stable	Highly stable
des	RvY_00678-1	1	highly_stable	Highly stable
des	RvY_00679-1	1	highly_stable	Highly stable
des	RvY_00681-1	1	highly_stable	Highly stable
des	RvY_00682-1	1	highly_stable	Highly stable
des	RvY_00684-1	1	highly_stable	Highly stable
