gene_set_id	gene_set_family	condition	stability_region	dominant_state	signal_class	enrichment_type	kegg_term	query_size	background_size	query_overlap_count	background_term_count	query_fraction	background_fraction	enrichment_ratio	p_value	adjusted_p_value	significant	contributing_feature_ids	all_feature_count	annotated_feature_count	review_rank	contributing_feature_count	term_description	review_status
DES__Highly_Stable__down__Highly_Stable_Down	main_class	DES	Highly Stable	down	Highly Stable Down	PATHWAY	ko03010	445	4680	80	135	0.1797752808988764	0.02884615384615384	6.232209737827715	5.874754051300134e-49	1.8622970342621425e-46	TRUE	RvY_00120-2;RvY_00564-1;RvY_00579-1;RvY_00639-1;RvY_00677-1;RvY_00692-1;RvY_01164;RvY_01278-1;RvY_01330-1;RvY_01350-1;RvY_01600-1;RvY_01605-1;RvY_02145-1;RvY_02417-1;RvY_02479-1;RvY_02498-1;RvY_02609-1;RvY_02986;RvY_03409-1;RvY_03959-1;RvY_04857-1;RvY_04966-1;RvY_05313-1;RvY_05407-1;RvY_05693-1;RvY_06929-1;RvY_07051-1;RvY_07166-1;RvY_07263-1;RvY_07609-1;RvY_08150-1;RvY_08165-1;RvY_08492-1;RvY_08525-1;RvY_09258-1;RvY_09347-1;RvY_09370-1;RvY_09390-1;RvY_09404-1;RvY_09405-1;RvY_09439-1;RvY_09491-1;RvY_09844-1;RvY_10069-1;RvY_10245-1;RvY_10818-1;RvY_11608-1;RvY_12918-1;RvY_13500-1;RvY_13994-1;RvY_14449-1;RvY_14502;RvY_15163-1;RvY_15405-1;RvY_15407-1;RvY_15424-1;RvY_15534-1;RvY_15604-1;RvY_15730-1;RvY_15820-1;RvY_15866-1;RvY_15900-1;RvY_15939-1;RvY_15951-1;RvY_16409-1;RvY_16524-1;RvY_16589-1;RvY_17065-1;RvY_17174-1;RvY_17396-1;RvY_17830-1;RvY_17831-1;RvY_18027-1;RvY_18251-1;RvY_18328-1;RvY_18498-1;RvY_18550-1;RvY_18605-1;RvY_19496-0;RvY_19510-1	1233	1110	1	80	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__down__Highly_Stable_Down	main_class	DES	Highly Stable	down	Highly Stable Down	PATHWAY	map03010	445	4680	80	135	0.1797752808988764	0.02884615384615384	6.232209737827715	5.874754051300134e-49	1.8622970342621425e-46	TRUE	RvY_00120-2;RvY_00564-1;RvY_00579-1;RvY_00639-1;RvY_00677-1;RvY_00692-1;RvY_01164;RvY_01278-1;RvY_01330-1;RvY_01350-1;RvY_01600-1;RvY_01605-1;RvY_02145-1;RvY_02417-1;RvY_02479-1;RvY_02498-1;RvY_02609-1;RvY_02986;RvY_03409-1;RvY_03959-1;RvY_04857-1;RvY_04966-1;RvY_05313-1;RvY_05407-1;RvY_05693-1;RvY_06929-1;RvY_07051-1;RvY_07166-1;RvY_07263-1;RvY_07609-1;RvY_08150-1;RvY_08165-1;RvY_08492-1;RvY_08525-1;RvY_09258-1;RvY_09347-1;RvY_09370-1;RvY_09390-1;RvY_09404-1;RvY_09405-1;RvY_09439-1;RvY_09491-1;RvY_09844-1;RvY_10069-1;RvY_10245-1;RvY_10818-1;RvY_11608-1;RvY_12918-1;RvY_13500-1;RvY_13994-1;RvY_14449-1;RvY_14502;RvY_15163-1;RvY_15405-1;RvY_15407-1;RvY_15424-1;RvY_15534-1;RvY_15604-1;RvY_15730-1;RvY_15820-1;RvY_15866-1;RvY_15900-1;RvY_15939-1;RvY_15951-1;RvY_16409-1;RvY_16524-1;RvY_16589-1;RvY_17065-1;RvY_17174-1;RvY_17396-1;RvY_17830-1;RvY_17831-1;RvY_18027-1;RvY_18251-1;RvY_18328-1;RvY_18498-1;RvY_18550-1;RvY_18605-1;RvY_19496-0;RvY_19510-1	1233	1110	2	80	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__down__Highly_Stable_Down	main_class	DES	Highly Stable	down	Highly Stable Down	PATHWAY	ko00190	445	4680	38	110	0.0853932584269663	0.0235042735042735	3.633094994892748	2.605943567845681e-13	4.1304205550354035e-11	TRUE	RvY_00947-1;RvY_01156-1;RvY_01363-1;RvY_01500-1;RvY_02509-1;RvY_02985-1;RvY_03270-1;RvY_04218-1;RvY_05584-1;RvY_05591-1;RvY_05711-1;RvY_07380-1;RvY_07406-1;RvY_09499-1;RvY_10035-1;RvY_10059;RvY_10068-1;RvY_12068-1;RvY_12919-1;RvY_13057-1;RvY_14614-1;RvY_14671-1;RvY_14713-1;RvY_15452-1;RvY_16632-1;RvY_16760-1;RvY_16938-1;atp6;cob;cox1;cox2;cox3;nad1;nad2;nad3;nad4;nad5;nad6	1233	1110	3	38	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__down__Highly_Stable_Down	main_class	DES	Highly Stable	down	Highly Stable Down	PATHWAY	map00190	445	4680	38	110	0.0853932584269663	0.0235042735042735	3.633094994892748	2.605943567845681e-13	4.1304205550354035e-11	TRUE	RvY_00947-1;RvY_01156-1;RvY_01363-1;RvY_01500-1;RvY_02509-1;RvY_02985-1;RvY_03270-1;RvY_04218-1;RvY_05584-1;RvY_05591-1;RvY_05711-1;RvY_07380-1;RvY_07406-1;RvY_09499-1;RvY_10035-1;RvY_10059;RvY_10068-1;RvY_12068-1;RvY_12919-1;RvY_13057-1;RvY_14614-1;RvY_14671-1;RvY_14713-1;RvY_15452-1;RvY_16632-1;RvY_16760-1;RvY_16938-1;atp6;cob;cox1;cox2;cox3;nad1;nad2;nad3;nad4;nad5;nad6	1233	1110	4	38	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__down__Highly_Stable_Down	main_class	DES	Highly Stable	down	Highly Stable Down	PATHWAY	ko05204	445	4680	30	81	0.06741573033707865	0.01730769230769231	3.895131086142322	1.237988403473468e-11	1.3081410796702976e-9	TRUE	RvY_00525-1;RvY_00933-1;RvY_01265;RvY_04327-1;RvY_04766-1;RvY_04952-1;RvY_05124-1;RvY_06291-1;RvY_06303-1;RvY_06743-1;RvY_07516-1;RvY_08287;RvY_08708-1;RvY_10040-1;RvY_10041;RvY_10348;RvY_12019-1;RvY_13901-1;RvY_13928-1;RvY_15018-1;RvY_15721-1;RvY_16327-1;RvY_16339;RvY_16445;RvY_16446;RvY_16447-1;RvY_16968;RvY_17337-1;RvY_17338-1;RvY_18344	1233	1110	5	30	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__down__Highly_Stable_Down	main_class	DES	Highly Stable	down	Highly Stable Down	PATHWAY	map05204	445	4680	30	81	0.06741573033707865	0.01730769230769231	3.895131086142322	1.237988403473468e-11	1.3081410796702976e-9	TRUE	RvY_00525-1;RvY_00933-1;RvY_01265;RvY_04327-1;RvY_04766-1;RvY_04952-1;RvY_05124-1;RvY_06291-1;RvY_06303-1;RvY_06743-1;RvY_07516-1;RvY_08287;RvY_08708-1;RvY_10040-1;RvY_10041;RvY_10348;RvY_12019-1;RvY_13901-1;RvY_13928-1;RvY_15018-1;RvY_15721-1;RvY_16327-1;RvY_16339;RvY_16445;RvY_16446;RvY_16447-1;RvY_16968;RvY_17337-1;RvY_17338-1;RvY_18344	1233	1110	6	30	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__down__Highly_Stable_Down	main_class	DES	Highly Stable	down	Highly Stable Down	PATHWAY	ko00980	445	4680	29	79	0.0651685393258427	0.01688034188034188	3.860617266391694	3.563666106560353e-11	2.8242053894490804e-9	TRUE	RvY_00525-1;RvY_00933-1;RvY_01265;RvY_04327-1;RvY_04766-1;RvY_04952-1;RvY_06291-1;RvY_06303-1;RvY_08287;RvY_08708-1;RvY_10040-1;RvY_10041;RvY_10348;RvY_12019-1;RvY_13094-1;RvY_13227-1;RvY_13901-1;RvY_13928-1;RvY_15018-1;RvY_15721-1;RvY_16339;RvY_16445;RvY_16446;RvY_16447-1;RvY_16968;RvY_17337-1;RvY_17338-1;RvY_18344;RvY_19256-1	1233	1110	7	29	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__down__Highly_Stable_Down	main_class	DES	Highly Stable	down	Highly Stable Down	PATHWAY	map00980	445	4680	29	79	0.0651685393258427	0.01688034188034188	3.860617266391694	3.563666106560353e-11	2.8242053894490804e-9	TRUE	RvY_00525-1;RvY_00933-1;RvY_01265;RvY_04327-1;RvY_04766-1;RvY_04952-1;RvY_06291-1;RvY_06303-1;RvY_08287;RvY_08708-1;RvY_10040-1;RvY_10041;RvY_10348;RvY_12019-1;RvY_13094-1;RvY_13227-1;RvY_13901-1;RvY_13928-1;RvY_15018-1;RvY_15721-1;RvY_16339;RvY_16445;RvY_16446;RvY_16447-1;RvY_16968;RvY_17337-1;RvY_17338-1;RvY_18344;RvY_19256-1	1233	1110	8	29	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__down__Highly_Stable_Down	main_class	DES	Highly Stable	down	Highly Stable Down	PATHWAY	ko04260	445	4680	22	49	0.04943820224719101	0.01047008547008547	4.7218527860582435	8.739146675143337e-11	5.540618992040876e-9	TRUE	RvY_01363-1;RvY_01500-1;RvY_02526;RvY_03362-1;RvY_04204-1;RvY_04218-1;RvY_06737;RvY_09499-1;RvY_10035-1;RvY_10059;RvY_11973-1;RvY_12738;RvY_12740-1;RvY_13057-1;RvY_14614-1;RvY_14713-1;RvY_16632-1;RvY_17053-1;RvY_18124-1;cob;cox1;cox2	1233	1110	9	22	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__down__Highly_Stable_Down	main_class	DES	Highly Stable	down	Highly Stable Down	PATHWAY	map04260	445	4680	22	49	0.04943820224719101	0.01047008547008547	4.7218527860582435	8.739146675143337e-11	5.540618992040876e-9	TRUE	RvY_01363-1;RvY_01500-1;RvY_02526;RvY_03362-1;RvY_04204-1;RvY_04218-1;RvY_06737;RvY_09499-1;RvY_10035-1;RvY_10059;RvY_11973-1;RvY_12738;RvY_12740-1;RvY_13057-1;RvY_14614-1;RvY_14713-1;RvY_16632-1;RvY_17053-1;RvY_18124-1;cob;cox1;cox2	1233	1110	10	22	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__up__Highly_Stable_Up	main_class	DES	Highly Stable	up	Highly Stable Up	PATHWAY	ko04110	183	4680	19	93	0.10382513661202186	0.01987179487179487	5.224748810153359	1.618435603823463e-9	4.0137202974821883e-07	TRUE	RvY_00581-1;RvY_00624-1;RvY_00997-1;RvY_02491-1;RvY_04820-1;RvY_04868-1;RvY_05631-1;RvY_05778-1;RvY_06566-1;RvY_07851-1;RvY_08257-1;RvY_08372-1;RvY_09335-1;RvY_09566-1;RvY_11098-1;RvY_12599-1;RvY_16314-1;RvY_17583-1;RvY_17819-1	678	619	1	19	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__up__Highly_Stable_Up	main_class	DES	Highly Stable	up	Highly Stable Up	PATHWAY	map04110	183	4680	19	93	0.10382513661202186	0.01987179487179487	5.224748810153359	1.618435603823463e-9	4.0137202974821883e-07	TRUE	RvY_00581-1;RvY_00624-1;RvY_00997-1;RvY_02491-1;RvY_04820-1;RvY_04868-1;RvY_05631-1;RvY_05778-1;RvY_06566-1;RvY_07851-1;RvY_08257-1;RvY_08372-1;RvY_09335-1;RvY_09566-1;RvY_11098-1;RvY_12599-1;RvY_16314-1;RvY_17583-1;RvY_17819-1	678	619	2	19	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__up__Highly_Stable_Up	main_class	DES	Highly Stable	up	Highly Stable Up	PATHWAY	ko04111	183	4680	16	78	0.08743169398907104	0.01666666666666666	5.245901639344263	3.189102926497789e-8	3.954487628857258e-6	TRUE	RvY_00624-1;RvY_00997-1;RvY_01388-1;RvY_02491-1;RvY_04820-1;RvY_04868-1;RvY_05393-1;RvY_05778-1;RvY_06566-1;RvY_08257-1;RvY_08372-1;RvY_09335-1;RvY_09465-3;RvY_13949-1;RvY_17583-1;RvY_17819-1	678	619	3	16	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__up__Highly_Stable_Up	main_class	DES	Highly Stable	up	Highly Stable Up	PATHWAY	map04111	183	4680	16	78	0.08743169398907104	0.01666666666666666	5.245901639344263	3.189102926497789e-8	3.954487628857258e-6	TRUE	RvY_00624-1;RvY_00997-1;RvY_01388-1;RvY_02491-1;RvY_04820-1;RvY_04868-1;RvY_05393-1;RvY_05778-1;RvY_06566-1;RvY_08257-1;RvY_08372-1;RvY_09335-1;RvY_09465-3;RvY_13949-1;RvY_17583-1;RvY_17819-1	678	619	4	16	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__up__Highly_Stable_Up	main_class	DES	Highly Stable	up	Highly Stable Up	PATHWAY	ko03030	183	4680	11	42	0.06010928961748633	0.00897435897435897	6.697892271662764	3.595085147852244e-7	2.971937055557855e-5	TRUE	RvY_01155-1;RvY_03283-1;RvY_05316-1;RvY_05631-1;RvY_05778-1;RvY_10167-1;RvY_12979-1;RvY_13200-1;RvY_16566-1;RvY_17583-1;RvY_17603-1	678	619	5	11	NA	REQUIRES_AUTHOR_REVIEW
